Event Year,Event Month,Date Event Began,Area Affected,NERC Region,Demand Loss (MW),Number of Customers Affected
2023,March,03/03/2023,Texas: Tarrant County;,TRE,0,0
2023,March,03/03/2023,"Kentucky: Oldham County, Jefferson County, Fayette County, Franklin County, Hardin County, Hart County, Hopkins County, Jessamine County, Muhlenberg County, Nelson County, Scott County, Shelby County, Spencer County, Washington County, Woodford County, Bullitt County, Meade County, Lyon County, LaRue County, Henry County, Grayson County, Boyle County, Christian County, Anderson County; Virginia: Wise County;",SERC,Unknown,346000
2023,March,03/03/2023,Ohio: Kentucky:,RF,Unknown,57186
2023,March,03/03/2023,Tennessee: Davidson County;,SERC,Unknown,115000
2023,March,03/03/2023,Michigan:,RF,0,200000
2023,March,03/03/2023,Alabama: Georgia: Mississippi:,SERC,346,48384
2023,March,03/03/2023,"Kentucky: Oldham County, Jefferson County, Fayette County, Franklin County, Hardin County, Hart County, Hopkins County, Jessamine County, Muhlenberg County, Nelson County, Scott County, Shelby County, Spencer County, Washington County, Woodford County, Bullitt County, Meade County, Lyon County, LaRue County, Henry County, Grayson County, Boyle County, Christian County, Anderson County; Virginia: Williamsburg, City of[23], Wise County;",SERC,Unknown,Unknown
2023,March,03/04/2023,Louisiana:,SERC,965,33
2023,March,03/04/2023,Louisiana:,SERC,800,Unknown
2023,March,03/05/2023,Georgia: Fulton County;,SERC,0,0
2023,March,03/05/2023,"West Virginia: Randolph County, Barbour County;",RF,0,0
2023,March,03/06/2023,Virginia: Orange County;,SERC,1,0
2023,March,03/07/2023,Texas: Lubbock County; New Mexico:,TRE,0,0
2023,March,03/07/2023,Texas: Lubbock County;,TRE,0,0
2023,March,03/08/2023,Texas: Bee County;,TRE,0,0
2023,March,03/08/2023,Indiana: Hendricks County;,RF,0,0
2023,March,03/09/2023,"Wisconsin: Walworth County, Waukesha County, Milwaukee County, Racine County, Ozaukee County, Kenosha County;",MRO/RF,250,100000
2023,March,03/10/2023,"Texas: Webb County, Hidalgo County;",TRE,0,0
2023,March,03/10/2023,Idaho: Ada County;,WECC,0,0
2023,March,03/14/2023,Connecticut: Massachusetts: Vermont: Rhode Island: New Hampshire: Maine:,NPCC,Unknown,83000
2023,March,03/14/2023,New York:,NPCC,Unknown,Unknown
2023,March,03/16/2023,Texas: Lubbock County;,TRE,0,0
2023,March,03/22/2023,Pennsylvania: Greene County;,RF,621,0
2023,March,03/23/2023,Washington: King County;,WECC,0,0
2023,March,03/23/2023,Texas: Tarrant County;,TRE,0,0
2023,March,03/23/2023,Nevada: Clark County;,WECC,24,11479
2023,March,03/25/2023,Michigan:,RF,5800,67893
2023,March,03/25/2023,Ohio: West Virginia: Virginia:,RF,Unknown,160801
2023,March,03/26/2023,Washington: Oregon: Josephine County; California: Idaho: Utah: Wyoming: Montana:,WECC ,34,Unknown
2023,March,3/28/2023,Texas: Cameron County;,TRE,0,0
2023,March,03/28/2023,Texas: Montgomery County;,TRE,0,0
2023,March,03/28/2023,Texas: Hartley County;,TRE,0,0
2023,March,03/29/2023,Nebraska: Kearney County;,MRO,0,0
2023,March,03/29/2023,Wisconsin: Michigan:,MRO / RF,0,0
2023,March,03/30/2023,Washington: Kitsap County;,WECC,0,0
2023,March,03/30/2023,Colorado: Larimer County;,WECC,18,Unknown
2023,March,03/30/2023,Kentucky:,SERC,0,0
2023,March,03/30/2023,Colorado: Larimer County;,WECC,Unknown,Unknown
2023,March,03/30/2023,Pennsylvania: Indiana County;,RF,1711,0
2023,March,03/31/2023,Arkansas:,SERC,Unknown,58368
2023,March,03/31/2023,"Minnesota: Ramsey County, Hennepin County, Dakota County, Washington County;",MRO,Unknown,80000
2023,March,03/31/2023,Illinois:,SERC / RF,Unknown,65000
2023,April,04/01/2023,Ohio: West Virginia: Virginia:,RF/SERC,Unknown,118000
2023,April,04/03/2023,Alabama: Walker County;,SERC,0,0
2023,April,04/03/2023,Colorado: Wyoming: Nebraska: Arizona: New Mexico: Utah: California:,WECC/MRO,Unknown,0
2023,April,04/08/2023,Texas: Cameron County;,TRE,0,0
2023,April,04/11/2023,Ohio: Kentucky:,RF,0,0
2023,April,04/14/2023,Florida: Orange County;,SERC,0,0
2023,April,04/15/2023,Texas: Kentucky: New Mexico: Washington: Oregon: Arizona: California: Nebraska: Pennsylvania: Ohio:,TRE,0,0
2023,April,04/16/2023,Texas: Louisiana: Arkansas: Mississippi:,TRE,Unknown,3900
2023,April,04/17/2023,Florida: Alachua County;,SERC,0,0
2023,April,04/17/2023,South Carolina: Aiken County;,SERC,39,8
2023,April,04/18/2023,Texas: Travis County;,TRE,0,0
2023,April,04/18/2023,Washington: King County;,WECC,0,0
2023,April,04/18/2023,South Dakota: Stanley County;,MRO,4,1
2023,April,04/19/2023,Washington: Snohomish County;,WECC,0,0
2023,April,04/19/2023,Texas: Calhoun County;,TRE,Unknown,Unknown
2023,April,04/21/2023,California:,WECC,0,0
2023,April,04/23/2023,Washington: Mason County;,WECC,25,Unknown
2023,April,04/25/2023,Arizona: Maricopa County;,WECC,0,0
2023,April,04/26/2023,Idaho: Bonner County;,WECC,0,0
2023,April,04/27/2023,Texas: Blanco County;,TRE,0,0
2023,April,04/27/2023,California: Stanislaus County;,WECC,0,0
2023,April,04/29/2023,"Texas: Hidalgo County, Cameron County, Willacy County, Starr County;",TRE,Unknown,168419
2023,May,5/1/2023,Connecticut: Massachusetts: Rhode Island: Maine: New Hampshire: Vermont:,NPCC,Unknown,54000
2023,May,5/2/2023,Texas:,TRE,0,0
2023,May,5/2/2023,Ohio: Kentucky:,RF/SERC,0,0
2023,May,5/4/2023,Texas: San Patricio County;,TRE,0,0
2023,May,5/11/2023,Michigan: Eaton County;,RF ,Unknown,378
2023,May,5/11/2023,Texas: Tarrant County;,TRE,0,0
2023,May,5/12/2023,Kentucky: Jefferson County;,SERC,0,0
2023,May,5/12/2023,New York: Broome County;,NPCC,0,0
2023,May,5/13/2023,North Dakota: Williams County;,MRO,8,327
2023,May,5/13/2023,North Dakota: Williams County;,MRO,64,2
2023,May,5/13/2023,North Dakota: Williams County;,MRO,166,327
2023,May,5/16/2023,Oregon: Multnomah County;,WECC,0,0
2023,May,5/21/2023,Washington: Whatcom County;,WECC,0,0
2023,May,5/22/2023,Florida: Putnam County;,SERC,0,0
2023,May,5/23/2023,North Dakota:,MRO,0,0
2023,May,5/24/2023,North Dakota:,MRO,0,0
2023,May,5/24/2023,Iowa: Minnesota:,MRO,2200,Unknown
2023,May,5/26/2023,Georgia: Gwinnett County;,SERC,0,0
2023,May,5/28/2023,Alabama: Tuscaloosa County;,SERC,0,0
2023,May,5/30/2023,Massachusetts: Hampden County[13];,NPCC,0,0
2023,May,5/31/2023,Florida: Alachua County;,SERC,0,0
2023,June,6/25/2023,Tennessee,SERC,Unknown,120000
2023,June,6/24/2023,Michigan,RF,5,5200
2023,June,6/25/2023,"Georgia, Alabama",SERC,Unknown,Unknown
2023,June,6/25/2023,"Wisconsin, Michigan",MRO/RF,175,70000
2023,June,6/25/2023,Michigan,RF,Unknown,Unknown
2023,June,6/27/2023,California,WECC,0,0
2023,June,6/25/2023,"Arkansas, Mississippi",SERC,Unknown,64732
2023,June,6/27/2023,"Washington, Idaho, Montana",WECC,0,0
2023,June,6/29/2023,Indiana,RF,Unknown,140000
2023,June,6/28/2023,Georgia,SERC,0,0
2023,June,6/22/2023,Louisiana,SERC,17,6242
2023,June,6/20/2023,Louisiana,SERC,0,0
2023,June,6/30/2023,Connecticut,NPCC,0,0
